title,label,cleaned_text
Suspect captured in ‘ambush-style’ killings of two Iowa cops,0,suspect capture ambush style kill two iowa cop
Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,0,things every american know donald trump plan save economy
The next president can have a big impact on climate policy — even without Congress,1,next president big impact climate policy even without congress
Look at the SHOCKING Number of Kids Born To Illegals in 2014,0,look shock number kid bear illegals 2014
Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,0,mother daughter remind msnbc reporter trump black supporters
Justice Department Staffers Monitor Polls on Election Day,1,justice department staffers monitor poll election day
Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,0,elizabeth warren blast fbi director hillary instead wall street crook
Poll: 71 percent of Dems think Clinton should keep running even if indicted,1,poll percent dems think clinton keep run even indict
Trumped!,0,trump
Is the Iran deal unraveling? Think again. | Institution,1,iran deal unravel think institution
Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,0,saturn baffle hexagon rag storm four time size earth change color
"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",0,cyrus mistry rename rohit sharma mistry get job back
The FBI intervenes in the 2016 election,0,fbi intervene 2016 election
"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",0,donald trump win years months days old first full day office
Shutdown clash to return in force by December,1,shutdown clash return force december
Classless Obama Refuses Photo-Op of White House Welcome with Trump,0,classless obama refuse photo white house welcome trump
Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,0,comment maryland trump supporter switch vote hillary misterdawg
Stuff in the News That No One Is Talking About Because of the Election,0,stuff news one talk election
Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,1,blizzard charge countercharges melt away opinions trump clinton freeze
Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,0,social media censor fbi open clinton email investigation
Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,1,obama inch closer veto proof support iran nuclear deal
How Clinton plans to stop Sanders' momentum,1,clinton plan stop sanders momentum
Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,1,martin malley praise senate democrats hold trade deal
Shi’ite Militias Join Iraq’s Mosul Attack,0,shi ite militias join iraq mosul attack
‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,1,super pac get early start push 2016 clinton campaign
Christianity under attack: US must do more to promote religious freedom,1,christianity attack must promote religious freedom
U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,0,taxpayers pay millions dollars year privilege spy
VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,0,video journalist shoot militarize police stand rock conduct interview
"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",1,buffett run feed would raise rat significantly
Are Tensions With Russia Even Real?,0,tensions russia even real
Iran agrees to nuclear restrictions in framework deal with world powers,1,iran agree nuclear restrictions framework deal world power
Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,0,comment constipation body constipation body thehealthology
Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,0,fifteen quote prove false flag terrorism existence shadow government
"Bernie Sanders’s vast universe of donors, mapped",1,bernie sanders vast universe donors map
"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",0,former ambassador andrew young call end water fluoridation civil right issue
Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,0,trump new portray every mother worst nightmare nothing short chill
Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,0,undercover video expose obama plan make american gun laws like britain truthfeed
So That Happened: Did Obama Forget That The GOP Runs Congress?,1,happen obama forget gop run congress
"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",0,syrian war report november 2016 isis nusra attempt cut govt supply line aleppo
Should Christians Celebrate Halloween?,0,christians celebrate halloween
Sunday in Charleston: Worship at Emanuel AME,1,sunday charleston worship emanuel ame
Only Making Matters Worse in Syria,0,make matter worse syria
"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",1,fact check hillary clinton speech democratic convention annotate
BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,0,bust clinton foundation directly tie plot steal election
Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,1,connecticut become first state boycott indiana lgbt discrimination law
Scott Walker Confronts Doubts About His Grasp of Foreign Policy,1,scott walker confront doubt grasp foreign policy
Iran carries out new ballistic missile test,1,iran carry new ballistic missile test
Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,0,assange donald trump win allow win clinton isis fund interest
Why Joe Biden can't get no respect,1,joe biden get respect
"Come on, Paul Ryan must be running in 2016, right? Right?",1,come paul ryan must run 2016 right right
Why Bernie Sanders needs to start winning big states — big,1,bernie sanders need start win big state big
Leaked: What’s in Obama’s trade deal,1,leak obama trade deal
"Michael Moore admits no women ever melted the ice caps, bombs American history",0,michael moore admit women ever melt ice cap bomb american history
Someone Isn't Telling The Truth About Freddie Gray's Death,1,someone tell truth freddie gray death
Prison employee pleaded not guilty to aiding escape of two murderers,1,prison employee plead guilty aid escape two murderers
Culchie Tries To Explain Rules Of 25 One More Time,0,culchie try explain rule one time
Election Day: No Legal Pot In Ohio; Democrats Lose In The South,1,election day legal pot ohio democrats lose south
President Trump: A colossal failure for democracy and our terrifying new reality,1,president trump colossal failure democracy terrify new reality
Who had to go :-),0,
Raqqa/Mosul: Politicians Fiddle As Middle East Burns,0,raqqa mosul politicians fiddle middle east burn
Chris Christie losing home-state donors as Jeb Bush makes inroads,1,chris christie lose home state donors jeb bush make inroads
Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,0,washington home depot store receive order five thousand gallons gold exterior paint
Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,0,western lynch mob russia tie absurd anots information
Can Sanders rally supporters around Clinton after DNC email leak?,1,sanders rally supporters around clinton dnc email leak
'Historic' climate deal in sight as nations parse final text,1,historic climate deal sight nations parse final text
We Live In A Time Where Each Individual Has Immense Power,0,live time individual immense power
"Trump slams 'corrupt' media, as more women make sexual assault claims",1,trump slam corrupt media women make sexual assault claim
Only Demented Imbeciles Want A Killary Reign Of Terror,0,demented imbeciles want killary reign terror
This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,0,anti trump advert side bus really visually clever see motion
Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,0,americans disconnect reality insouciant become euphemism
The 5 unspoken rules for covering Hillary Clinton,1,unspoken rule cover hillary clinton
"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",0,hillary melt weiner public pics prove campaign implode
Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,0,clinton trump latest electoral prediction greg lade blog science technology
Jubilee Year of Mercy ends on November 20. Following Judgment?,0,jubilee year mercy end november follow judgment
Iraq launches operation against ISIS in Anbar province,1,iraq launch operation isis anbar province
UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,0,ukip meps steven woolfe mike hookem report french police strasbourg scuffle
Justices Kennedy and Scalia and their divide on gay rights,1,justices kennedy scalia divide gay right
Justice Clarence Thomas Describes Washington DC As “Broken”,0,justice clarence thomas describe washington break
"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",0,week picture week october 2016 onion america finest news source
Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',1,jeb bush foreign policy plan military spend encourage peace
"John Kasich: He’s Conservative, but at Least He’s Sane",1,john kasich conservative least sane
2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,1,2006 audio emerge hillary clinton propose rig palestine election
Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,1,authorities search clue raid thwart potential belgian charlie hebdo attack
8 classic football banners of our time,0,classic football banners time
Tweetwave,0,tweetwave
Trump’s Gettysburg Address against the New World Order,0,trump gettysburg address new world order
Debate Goals for the Democratic Candidates,1,debate goals democratic candidates
'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,1,spin speak email show pentagon ready roll benghazi attack occur
A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,1,case study obamacare lawsuit base mythical history
Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,0,trump proudly declare people insult deserve
Dems sue GOP over Trump's 'rigged' complaints,0,dems sue gop trump rig complaints
US Airstrikes on Iraqi Army Slowing Advance on Mosul,0,airstrikes iraqi army slow advance mosul
Iran letter blowback startles GOP,1,iran letter blowback startle gop
"Clinton Camp Desperate, Russia Trains for WWIII",0,clinton camp desperate russia train wwiii
Donald Trump's GOP civil war,1,donald trump gop civil war
Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,0,comment taint measles vaccine kill children syria tragic deaths use promote vaccine fear fence vaccines
Laura Bush hints she'd rather see Hillary as president,1,laura bush hint rather see hillary president
"Scott Walker, Rick Perry show limits of super PACs",1,scott walker rick perry show limit super pacs
If Catcalls Were Politically Correct…,0,catcall politically correct
Why Hillary Won't Unleash WWIII    : Information,0,hillary win unleash wwiii information
Is It Time To Reconsider Lifetime Appointments To The Supreme Court?,1,time reconsider lifetime appointments supreme court
"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally",1,clinton delegate win dem nomination report sanders question tally
Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',0,hillary implode trump take everything pay nothing support
"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",1,trump say obama bear period new birther dust
"MH370: If debris is part of missing plane, what's next?",1,mh370 debris part miss plane next
GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,0,google plan massive integrate social network spy tool hillary campaign 2014
Israel stole classified US information and used it to help congressional Republicans,1,israel steal classify information use help congressional republicans
"""America has a simple ideology"": how one of Russia's top US experts explains America",1,america simple ideology one russia top experts explain america
Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,1,poll show trump make point weeks like poll
"Chaos on House floor as Dems, Republicans clash over LGBT proposal",1,chaos house floor dems republicans clash lgbt proposal
"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",0,new study link fluoride consumption hypothyroidism weight gain worse
"Clinton, Sanders accuse Trump of inciting violence",1,clinton sanders accuse trump incite violence
Memo to the Next Administration: Defense Spending Must Be For Actual Defense,0,memo next administration defense spend must actual defense
"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'",1,new responses hillary clinton insist email setup matter convenience
Trump mulls alternative options for making Mexico finance 'the wall',1,trump mull alternative options make mexico finance wall
The circus of liars - America's three rings of evil clowns,0,circus liars america three ring evil clown
"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’",1,donald trump say university education actually goal sell sell sell
Trump Has Forever Changed American Politics,0,trump forever change american politics
Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,1,kerry adviser marie harf twitter fight iran nuke
"The role of the US and Nato in EU relations with China, by Manlio Dinucci",0,role nato relations china manlio dinucci
The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton,1,daily 202 many african americans unenthusiastically settle hillary clinton
"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",1,100 000 people come recent bernie sanders rally
Trump The President: What Does That Mean For The World? - CounterCurrents.org,0,trump president mean world countercurrents org
"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",1,fleece congress grill kerry obama officials iran nuke deal
"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",1,000 page hack wikileaks email teach hillary clinton
Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,0,comment break cdc block testimony senior scientist blow whistle severe medical malpractice cdc accuse block testimony senior scientist new york malpractice injury lawyer blog
FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,0,fox news admit make story hillary indict foundation
Repudiating the Media,0,repudiate media
Buchanan Smashes CNN Shill,0,buchanan smash cnn shill
The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,0,impossible happen cub win world series yes hillary clinton likely indict
America After Election 2016: the Gullible and the Shattered - David Kerans,0,america election 2016 gullible shatter david kerans
Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),0,anderson cooper absolutely kellyanne conway fbi clear hillary video
‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,0,schlonged nyt fbi reopen hillary probe thank anthony weiner
What do Americans really think of election coverage?,1,americans really think election coverage
Exclusive: Siege of Islamabad,0,exclusive siege islamabad
The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%,0,fix nbc affiliate accidentally post election result week early hillary win presidency trump
Lynch schools the wingnuts: How the right tried — and failed — to wound Obama’s AG nominee,1,lynch school wingnuts right try fail wind obama nominee
"Yes, Ted Cruz could win",1,yes ted cruz could win
"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)",0,build wall hand small nyc anti trump protest stream live
Trump advisors try to pivot not fishtail,1,trump advisors try pivot fishtail
"Christians drop, 'nones' soar in new religion portrait",1,christians drop nones soar new religion portrait
Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene,0,comment brother clinton campaign chair active foreign agent saudi arabian payroll marlene
Inside the Deliberations of a Hillary Clinton Campaign Launch,1,inside deliberations hillary clinton campaign launch
American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,0,american express disown pink floyd singer roger water pro palestinian view
Clinton condemns Trump over Chicago violence,1,clinton condemn trump chicago violence
"In France, a growing debate over why some speech is protected and some isn’t",1,france grow debate speech protect
President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information,0,president elect donald trump first televise interview since win election information
North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,0,north carolina hillary supporter brag facebook vote multiple time
Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,0,russia react aid chief aleppo kill zone remark
Representative Government or Thugocracy?,0,representative government thugocracy
Gay rights and religious liberty: Can Americans have both?,1,gay right religious liberty americans
"As Rand Paul stalls, Ted Cruz seeks to pick up support among libertarians",1,rand paul stall ted cruz seek pick support among libertarians
“A dream come true for Hillary Clinton”: Wall Street Journal editorial board rips Ted Cruz,1,dream come true hillary clinton wall street journal editorial board rip ted cruz
Obama Presses Putin to Strike Ukraine Peace Deal,1,obama press putin strike ukraine peace deal
"Trumka: Disappointment with Obama, a warning for Hillary",1,trumka disappointment obama warn hillary
Pro-Palestinian Propaganda Lowering Standards of Truth in America,0,pro palestinian propaganda lower standards truth america
Wingnuts have a death-grip on Congress: Why Paul Ryan can’t control the House GOP,1,wingnuts death grip congress paul ryan control house gop
Lifting weights could ward off dementia and make you smarter,0,lift weight could ward dementia make smarter
People excited about Christmas adverts told about rest of human culture,0,people excite christmas advert tell rest human culture
